DOB;AGE;GNDR;ADMIT;NATION;NATN_TYPE;CITIZENSHIP;RESIDENCY;COLLEGE;STUDENT_MAJOR;DIPLOMA_DESCRIPTION;CERT_DATE;STUDENT_LEVEL;SCHOOL;SCHOOL_CITY
5-Oct-84;27;M;Fall 2010-2011;UAE;UAE;UAE-Um Alquwain;UAE-Umm Al-Quwain;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;15-Feb-07;Graduate;UAE University;Al Ain
31-Jan-83;29;F;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor of Arts;29-Jun-09;Graduate;Ajman Univ of Science;AJMAN
10-Jul-79;32;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Deba Al-Hosn;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;29-May-01;Graduate;Police Sciences Academy;SHARJAH
8-Apr-80;32;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;16-Oct-02;Graduate;Police Sciences Academy;SHARJAH
19-Aug-82;29;N;Fall 2010-2011;UAE;UAE;UAE-Ras Alkhaimah;UAE-Ras Al-Khaima;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;25-Jun-09;Graduate;Islamic & Arabic Studies Coll;DUBAI
8-Oct-77;34;M;Fall 2010-2011;UAE;UAE;UAE-Abu Dhabi;UAE-Ras Al-Khaima;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;25-Jun-09;Graduate;Islamic & Arabic Studies Coll;DUBAI
30-Dec-79;32;N;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;29-May-01;Graduate;Police Sciences Academy;SHARJAH
15-Mar-79;33;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Fujairah;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;29-May-01;Graduate;Police Sciences Academy;SHARJAH
26-May-85;26;F;Fall 2010-2011;Saudi Arabia;GCC;Non Citizen;Saudi Arabia-Al Khobar;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor of Arts;25-Apr-10;Graduate;University of Sharjah;SHARJAH
1-Jan-76;36;M;Fall 2010-2011;UAE;UAE;UAE-Abu Dhabi;UAE-Al Ain;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;18-Sep-05;Graduate;Ajman Univ of Science;AJMAN
25-Nov-83;28;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;27-May-06;Graduate;UAE University;Al Ain
23-Jul-82;29;M;Fall 2010-2011;UAE;UAE;UAE-Abu Dhabi;UAE-Abu Dhabi;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;3-Jul-08;Graduate;Islamic & Arabic Studies Coll;DUBAI
28-Apr-86;26;M;Fall 2010-2011;UAE;UAE;UAE-Al Fujairah;UAE-Deba Al-Fujairah;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;3-Jul-08;Graduate;Islamic & Arabic Studies Coll;DUBAI
9-Sep-84;27;M;Fall 2010-2011;UAE;UAE;UAE-Al Fujairah;UAE-Deba Al-Fujairah;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;25-Jun-09;Graduate;Islamic & Arabic Studies Coll;DUBAI
22-Jun-86;25;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;6-Mar-08;Graduate;Police College In Abu Dhabi;ABU DHABI
4-Feb-86;26;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;7-Jan-10;Graduate;University of Sharjah;SHARJAH
5-Oct-79;32;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;-;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;29-May-01;Graduate;Police Sciences Academy;SHARJAH
30-Dec-78;33;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Deba Al-Hosn;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;29-May-01;Graduate;Police Sciences Academy;SHARJAH
6-Oct-79;32;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;22-May-01;Graduate;Police Sciences Academy;SHARJAH
19-Nov-77;34;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Kalba;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;21-Jan-01;Graduate;Police Sciences Academy;SHARJAH
27-Jan-72;40;M;Fall 2010-2011;UAE;UAE;UAE-Abu Dhabi;UAE-Abu Dhabi;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;18-Feb-04;Graduate;Ajman Univ of Science;AJMAN
23-Jul-76;35;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;27-Jan-01;Graduate;Police Sciences Academy;SHARJAH
23-Aug-87;24;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;4-May-09;Graduate;Police Sciences Academy;SHARJAH
29-May-79;32;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;20-May-03;Graduate;Police Sciences Academy;SHARJAH
10-Jan-71;41;M;Fall 2010-2011;UAE;UAE;UAE-Sharjah;UAE-Sharjah;Arts, Humanities & Social Sci.;Applied Sociology;Bachelor;2-Jul-92;Graduate;UAE University;Al Ain
